Frame_No,Template_No,x,y,mx,my
27,3,368,194,369.23483,191.14795
27,4,675,218,676.1664,212.49742
27,5,1062,48,1060.0406,40.924854
27,6,818,434,821.1184,426.23325
28,1,100,237,101.06068,236.39194
28,2,215,226,216.27147,224.30559
28,3,368,194,369.81534,191.03882
28,4,675,218,677.0737,212.50749
28,5,1062,48,1060.2867,40.568405
28,6,818,434,821.5751,426.35645
29,1,100,237,101.07076,236.1
29,2,215,226,216.35335,224.24205
29,3,368,194,369.88214,190.94904
29,4,675,218,676.8909,212.38683
29,5,1062,48,1060.319,40.533043
29,6,818,434,821.46796,426.25558
30,1,100,237,100.58877,236.33818
30,2,215,226,215.96074,224.22655
30,3,368,194,369.55664,191.05426
30,4,675,218,676.939,212.64381
30,5,1062,48,1059.8933,40.84678
30,6,818,434,821.0535,426.59396
31,1,100,237,101.05691,236.3879
31,2,215,226,216.4047,224.3168
31,3,368,194,370.15356,190.95921
31,4,675,218,677.17975,212.29897
31,5,1062,48,1060.0312,40.816517
31,6,818,434,821.7924,426.3062
32,1,100,237,100.98077,236.40334
32,2,215,226,216.26093,224.23737
32,3,368,194,369.89664,190.92453
32,4,675,218,676.9721,212.21288
32,5,1062,48,1059.4783,40.5635
32,6,818,434,821.85675,426.06827
33,1,100,237,101.80622,236.52579
33,2,215,226,216.94598,224.37662
33,3,368,194,370.6561,190.99866
33,4,675,218,677.79834,212.25084
33,5,1062,48,1059.9703,40.58448
33,6,818,434,822.16,426.1386
34,1,100,237,102.0477,236.53683
34,2,215,226,217.2387,224.37709
34,3,368,194,370.8021,190.95374
34,4,675,218,677.8563,212.14944
34,5,1062,48,1059.9703,40.58448
34,6,818,434,822.60565,426.03586
35,1,100,237,101.92913,236.34123
35,2,215,226,217.19684,224.14525
35,3,368,194,370.78,190.84114
35,4,675,218,677.78455,212.06052
35,5,1062,48,1059.6039,40.332214
35,6,818,434,822.341,425.6772
36,1,100,237,102.040924,236.02518
36,2,215,226,217.15242,223.94272
36,3,368,194,370.75674,190.71286
36,4,675,218,677.675,211.94432
36,5,1062,48,1059.6296,40.6382
36,6,818,434,821.9827,425.49414
37,1,100,237,102.02564,236.04683
37,2,215,226,217.32924,223.81606
37,3,368,194,371.00113,190.60727
37,4,675,218,677.9494,211.868
37,5,1062,48,1059.8954,40.938873
37,6,818,434,822.1281,425.59653
38,1,100,237,102.29413,235.71857
38,2,215,226,217.52872,223.74521
38,3,368,194,371.22852,190.36134
38,4,675,218,678.3494,211.67145
38,5,1062,48,1060.1422,41.209007
38,6,818,434,822.2433,425.079
39,1,100,237,101.98742,235.01112
39,2,215,226,217.38132,222.97278
39,3,368,194,371.15253,189.8584
39,4,675,218,678.1246,211.24284
39,5,1062,48,1060.1195,40.89554
39,6,818,434,822.2667,424.74826
40,1,100,237,102.02571,235.02934
